#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 08 43 999 99.0 99.0  1.36 16.67  8.02 291 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 09 13 999 99.0 99.0  1.29 16.67  7.38 294 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 09 43 999 99.0 99.0  1.32 16.67  7.49 297 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 10 13 999 99.0 99.0  1.63 16.67  8.59 291 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 10 43 999 99.0 99.0  1.38 16.67  7.46 293 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 11 13 999 99.0 99.0  1.68 15.38  8.68 298 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 11 43 999 99.0 99.0  1.49 15.38  7.77 304 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 12 13 999 99.0 99.0  1.56 15.38  7.43 297 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 05 12 43 999 99.0 99.0  1.57 16.67  7.80 293 9999.0 999.0  14.1 999.0 99.0 99.00
2010 01 05 13 13 999 99.0 99.0  1.61 15.38  8.08 298 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 05 13 43 999 99.0 99.0  1.64 15.38  7.80 303 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 05 14 13 999 99.0 99.0  1.71 15.38  8.11 303 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 05 14 43 999 99.0 99.0  1.66 15.38  7.93 291 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 15 13 999 99.0 99.0  1.66 15.38  8.06 301 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 16 13 999 99.0 99.0  1.90 15.38  8.85 296 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 16 43 999 99.0 99.0  1.67 14.29  8.11 303 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 17 13 999 99.0 99.0  1.59 15.38  8.04 301 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 17 43 999 99.0 99.0  1.71 14.29  8.51 297 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 18 13 999 99.0 99.0  1.83 14.29  8.38 296 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 18 43 999 99.0 99.0  1.57 15.38  7.64 303 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 19 13 999 99.0 99.0  1.64 15.38  7.75 298 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 19 43 999 99.0 99.0  1.55 14.29  7.34 294 9999.0 999.0  13.9 999.0 99.0 99.00
2010 01 05 20 13 999 99.0 99.0  1.47 15.38  6.94 294 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 05 20 43 999 99.0 99.0  1.61 14.29  7.96 297 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 05 21 13 999 99.0 99.0  1.65 14.29  8.23 300 9999.0 999.0  14.0 999.0 99.0 99.00
2010 01 05 21 43 999 99.0 99.0  1.49 14.29  7.57 300 9999.0 999.0  14.1 999.0 99.0 99.00
2010 01 05 22 13 999 99.0 99.0  1.56 15.38  7.78 291 9999.0 999.0  14.1 999.0 99.0 99.00
2010 01 05 22 43 999 99.0 99.0  1.48 15.38  7.75 301 9999.0 999.0  14.1 999.0 99.0 99.00
2010 01 05 23 13 999 99.0 99.0  1.29 14.29  6.98 307 9999.0 999.0  14.1 999.0 99.0 99.00
